old_face_in_surp,new_face_in_surp,which_side_old_face_displayed
img/neutralC/CFD-WF-008-002-N.jpg,img/neutralC/CFD-AF-224-026-N.jpg,right
img/neutralC/CFD-IF-677-452-1-N.jpg,img/neutralC/CFD-LF-233-277-N.jpg,left
img/neutralC/CFD-BF-208-266-N.jpg,img/neutralC/CFD-AF-219-106-N.jpg,left
img/neutralC/CFD-AF-213-126-N.jpg,img/neutralC/CFD-BF-215-177-N.jpg,left
img/neutralC/CFD-WM-038-003-N.jpg,img/neutralC/CFD-WM-204-031-N.jpg,right
img/neutralC/CFD-AM-212-050-N.jpg,img/neutralC/CFD-IM-692-011-N.jpg,left
img/neutralC/CFD-AM-251-124-N.jpg,img/neutralC/CFD-BM-221-198-N.jpg,right
img/neutralC/CFD-WF-026-002-N.jpg,img/neutralC/CFD-WM-037-025-N.jpg,left
img/neutralC/CFD-LF-206-078-N.jpg,img/neutralC/CFD-IM-656-273-N.jpg,left
img/neutralC/CFD-LF-255-088-N.jpg,img/neutralC/CFD-IM-699-002-N.jpg,right
img/neutralC/CFD-LM-217-162-N.jpg,img/neutralC/CFD-AF-247-278-N.jpg,left
img/neutralC/CFD-LM-216-082-N.jpg,img/neutralC/CFD-WM-010-001-N.jpg,left
img/neutralC/CFD-IM-659-359-N.jpg,img/neutralC/CFD-AF-243-170-N.jpg,right
img/neutralC/CFD-WM-209-038-N.jpg,img/neutralC/CFD-AF-212-097-N.jpg,right
img/neutralC/CFD-BF-025-002-N.jpg,img/neutralC/CFD-MF-324-031-N.jpg,left
img/neutralC/CFD-BF-045-003-N.jpg,img/neutralC/CFD-MM-315-013-N.jpg,right
img/neutralC/CFD-IM-639-263-N.jpg,img/neutralC/CFD-IF-704-125-N.jpg,left
img/neutralC/CFD-BM-251-013-N.jpg,img/neutralC/CFD-MM-302-002-N.jpg,left
img/neutralC/CFD-BF-255-140-N.jpg,img/neutralC/CFD-AM-226-234-N.jpg,left
img/neutralC/CFD-AF-232-078-N.jpg,img/neutralC/CFD-LF-221-002-N.jpg,right
img/neutralC/CFD-WM-213-076-N.jpg,img/neutralC/CFD-IF-723-255-N.jpg,left
img/neutralC/CFD-BF-033-028-N.jpg,img/neutralC/CFD-BM-218-132-N.jpg,right
img/neutralC/CFD-AF-244-168-N.jpg,img/neutralC/CFD-IM-621-136-N.jpg,right
img/neutralC/CFD-MM-321-021-N.jpg,img/neutralC/CFD-IM-708-362-N.jpg,left
img/neutralC/CFD-IM-738-191-N.jpg,img/neutralC/CFD-AF-207-023-N.jpg,right
img/neutralC/CFD-AM-242-176-N.jpg,img/neutralC/CFD-WF-025-019-N.jpg,left
img/neutralC/CFD-BF-038-037-N.jpg,img/neutralC/CFD-WF-229-004-N.jpg,right
img/neutralC/CFD-BF-004-014-N.jpg,img/neutralC/CFD-MM-301-011-N.jpg,left
img/neutralC/CFD-WM-202-107-N.jpg,img/neutralC/CFD-WM-231-112-N.jpg,right
img/neutralC/CFD-IM-680-369-N.jpg,img/neutralC/CFD-AM-227-184-N.jpg,left
img/neutralC/CFD-BM-005-003-N.jpg,img/neutralC/CFD-LM-222-239-N.jpg,left
img/neutralC/CFD-BM-039-029-N.jpg,img/neutralC/CFD-WM-243-107-N.jpg,left
img/neutralC/CFD-BF-018-039-N.jpg,img/neutralC/CFD-MM-322-002-N.jpg,right
img/neutralC/CFD-LM-204-001-N.jpg,img/neutralC/CFD-MF-310-027-N.jpg,right
img/neutralC/CFD-IM-701-312-N.jpg,img/neutralC/CFD-IF-602-134-N.jpg,right
img/neutralC/CFD-WF-036-023-N.jpg,img/neutralC/CFD-MF-349-036-N.jpg,right
img/neutralC/CFD-BF-003-003-N.jpg,img/neutralC/CFD-AF-245-143-N.jpg,right
img/neutralC/CFD-WM-254-152-N.jpg,img/neutralC/CFD-BF-013-001-N.jpg,right
img/neutralC/CFD-AF-227-207-N.jpg,img/neutralC/CFD-MF-332-014-N.jpg,right
img/neutralC/CFD-LF-241-188-N.jpg,img/neutralC/CFD-LF-253-003-N.jpg,left
img/neutralC/CFD-BF-027-002-N.jpg,img/neutralC/CFD-MF-325-002-N.jpg,left
img/neutralC/CFD-BF-238-190-N.jpg,img/neutralC/CFD-WF-220-101-N.jpg,right
img/neutralC/CFD-MM-316-156-N.jpg,img/neutralC/CFD-AF-220-107-N.jpg,left
img/neutralC/CFD-WM-258-125-N.jpg,img/neutralC/CFD-MF-339-002-N.jpg,left
img/neutralC/CFD-IF-673-389-N.jpg,img/neutralC/CFD-MM-312-002-N.jpg,right
img/neutralC/CFD-WM-014-002-N.jpg,img/neutralC/CFD-LF-213-079-N.jpg,left
img/neutralC/CFD-AM-225-102-N.jpg,img/neutralC/CFD-MM-307-002-N.jpg,right
img/neutralC/CFD-WM-255-219-N.jpg,img/neutralC/CFD-IM-720-014-N.jpg,right
