old_face_in_surp,new_face_in_surp,which_side_old_face_displayed
img/neutralC/CFD-MF-343-001-N.jpg,img/neutralC/CFD-MF-322-020-N.jpg,right
img/neutralC/CFD-BF-042-026-N.jpg,img/neutralC/CFD-WF-014-002-N.jpg,right
img/neutralC/CFD-BF-006-017-N.jpg,img/neutralC/CFD-WF-201-156-N.jpg,right
img/neutralC/CFD-WF-222-092-N.jpg,img/neutralC/CFD-MF-334-002-N.jpg,left
img/neutralC/CFD-IM-646-023-N.jpg,img/neutralC/CFD-AM-232-251-N.jpg,left
img/neutralC/CFD-LM-214-165-N.jpg,img/neutralC/CFD-BM-224-073-N.jpg,right
img/neutralC/CFD-IM-697-015-N.jpg,img/neutralC/CFD-IF-605-066-N.jpg,right
img/neutralC/CFD-LM-233-171-N.jpg,img/neutralC/CFD-BM-245-164-N.jpg,left
img/neutralC/CFD-WF-241-210-N.jpg,img/neutralC/CFD-AF-226-251-N.jpg,left
img/neutralC/CFD-LF-247-051-N.jpg,img/neutralC/CFD-AF-203-077-N.jpg,right
img/neutralC/CFD-LF-218-072-N.jpg,img/neutralC/CFD-WF-236-107-N.jpg,left
img/neutralC/CFD-IM-702-101-N.jpg,img/neutralC/CFD-BF-219-137-N.jpg,left
img/neutralC/CFD-BM-243-218-N.jpg,img/neutralC/CFD-IM-698-011-N.jpg,left
img/neutralC/CFD-WF-223-133-N.jpg,img/neutralC/CFD-BM-024-001-N.jpg,right
img/neutralC/CFD-IF-676-017-N.jpg,img/neutralC/CFD-WF-216-079-N.jpg,left
img/neutralC/CFD-BF-253-202-N.jpg,img/neutralC/CFD-MF-330-001-N.jpg,left
img/neutralC/CFD-LM-253-075-N.jpg,img/neutralC/CFD-LF-209-072-N.jpg,right
img/neutralC/CFD-LF-236-221-N.jpg,img/neutralC/CFD-WM-245-123-N.jpg,left
img/neutralC/CFD-IF-620-218-N.jpg,img/neutralC/CFD-AF-201-060-N.jpg,left
img/neutralC/CFD-BM-241-235-N.jpg,img/neutralC/CFD-WF-211-001-N.jpg,right
img/neutralC/CFD-AM-244-222-N.jpg,img/neutralC/CFD-LF-228-125-N.jpg,left
img/neutralC/CFD-BF-214-308-N.jpg,img/neutralC/CFD-IF-614-107-N.jpg,right
img/neutralC/CFD-IF-629-234-N.jpg,img/neutralC/CFD-BM-216-088-N.jpg,left
img/neutralC/CFD-LF-238-154-N.jpg,img/neutralC/CFD-BF-248-149-N.jpg,right
img/neutralC/CFD-BM-021-021-N.jpg,img/neutralC/CFD-WM-244-003-N.jpg,right
img/neutralC/CFD-IM-719-221-N.jpg,img/neutralC/CFD-LF-227-054-N.jpg,left
img/neutralC/CFD-MF-337-026-N.jpg,img/neutralC/CFD-AF-214-139-N.jpg,right
img/neutralC/CFD-BF-254-201-N.jpg,img/neutralC/CFD-BF-016-017-N.jpg,right
img/neutralC/CFD-IM-637-007-N.jpg,img/neutralC/CFD-AM-248-104-N.jpg,right
img/neutralC/CFD-LM-215-247-N.jpg,img/neutralC/CFD-AF-208-003-N.jpg,right
img/neutralC/CFD-WM-237-052-N.jpg,img/neutralC/CFD-BM-222-173-N.jpg,right
img/neutralC/CFD-IM-604-014-N.jpg,img/neutralC/CFD-MF-331-010-N.jpg,left
img/neutralC/CFD-WM-041-021-N.jpg,img/neutralC/CFD-BF-220-161-N.jpg,left
img/neutralC/CFD-BF-222-240-N.jpg,img/neutralC/CFD-WM-241-072-N.jpg,right
img/neutralC/CFD-BM-019-002-N.jpg,img/neutralC/CFD-BM-223-171-N.jpg,left
img/neutralC/CFD-BM-215-155-N.jpg,img/neutralC/CFD-WF-035-024-N.jpg,left
img/neutralC/CFD-WM-002-009-N.jpg,img/neutralC/CFD-IF-601-519-N.jpg,left
img/neutralC/CFD-LF-250-169-N.jpg,img/neutralC/CFD-BM-230-232-N.jpg,right
img/neutralC/CFD-LF-230-203-N.jpg,img/neutralC/CFD-WF-204-038-N.jpg,right
img/neutralC/CFD-LF-210-220-N.jpg,img/neutralC/CFD-WF-203-229-N.jpg,right
img/neutralC/CFD-AF-202-122-N.jpg,img/neutralC/CFD-BF-050-003-N.jpg,left
img/neutralC/CFD-IF-608-390-N.jpg,img/neutralC/CFD-IM-661-254-N.jpg,right
img/neutralC/CFD-IM-615-167-N.jpg,img/neutralC/CFD-WF-039-025-N.jpg,right
img/neutralC/CFD-WF-018-017-N.jpg,img/neutralC/CFD-AM-238-269-N.jpg,right
img/neutralC/CFD-IM-616-214-N.jpg,img/neutralC/CFD-MF-311-001-N.jpg,left
img/neutralC/CFD-AF-206-079-N.jpg,img/neutralC/CFD-WF-020-002-N.jpg,right
img/neutralC/CFD-BM-225-154-N.jpg,img/neutralC/CFD-BM-038-001-N.jpg,left
img/neutralC/CFD-MF-302-027-N.jpg,img/neutralC/CFD-BM-022-022-N.jpg,right
