old_face_in_surp,new_face_in_surp,which_side_old_face_displayed
img/neutralC/CFD-BM-028-002-N.jpg,img/neutralC/CFD-BF-017-003-N.jpg,right
img/neutralC/CFD-AF-254-167-N.jpg,img/neutralC/CFD-WF-250-167-N.jpg,left
img/neutralC/CFD-WF-010-004-N.jpg,img/neutralC/CFD-BF-238-190-N.jpg,left
img/neutralC/CFD-BM-011-016-N.jpg,img/neutralC/CFD-BF-209-172-N.jpg,right
img/neutralC/CFD-LM-223-175-N.jpg,img/neutralC/CFD-MF-312-002-N.jpg,right
img/neutralC/CFD-LF-218-072-N.jpg,img/neutralC/CFD-IF-608-390-N.jpg,left
img/neutralC/CFD-LM-222-239-N.jpg,img/neutralC/CFD-AF-255-209-N.jpg,right
img/neutralC/CFD-BF-226-119-N.jpg,img/neutralC/CFD-IM-630-134-N.jpg,left
img/neutralC/CFD-MM-307-002-N.jpg,img/neutralC/CFD-LM-240-013-N.jpg,left
img/neutralC/CFD-BM-206-114-N.jpg,img/neutralC/CFD-MM-309-027-N.jpg,right
img/neutralC/CFD-LM-216-082-N.jpg,img/neutralC/CFD-IF-649-016-N.jpg,left
img/neutralC/CFD-MM-324-069-N.jpg,img/neutralC/CFD-AM-203-086-N.jpg,left
img/neutralC/CFD-IF-714-008-1-N.jpg,img/neutralC/CFD-WF-207-014-N.jpg,right
img/neutralC/CFD-IM-686-097-N.jpg,img/neutralC/CFD-IF-641-504-N.jpg,left
img/neutralC/CFD-WM-036-031-N.jpg,img/neutralC/CFD-WF-233-112-N.jpg,left
img/neutralC/CFD-WM-222-057-N.jpg,img/neutralC/CFD-MF-314-001-N.jpg,right
img/neutralC/CFD-LM-251-073-N.jpg,img/neutralC/CFD-BM-215-155-N.jpg,left
img/neutralC/CFD-WM-017-002-N.jpg,img/neutralC/CFD-AM-217-085-N.jpg,right
img/neutralC/CFD-IM-697-015-N.jpg,img/neutralC/CFD-LF-216-121-N.jpg,right
img/neutralC/CFD-BF-224-002-N.jpg,img/neutralC/CFD-IF-602-134-N.jpg,left
img/neutralC/CFD-WF-201-156-N.jpg,img/neutralC/CFD-BF-250-121-N.jpg,right
img/neutralC/CFD-WF-018-017-N.jpg,img/neutralC/CFD-IF-668-009-N.jpg,left
img/neutralC/CFD-WM-220-068-N.jpg,img/neutralC/CFD-WM-257-161-N.jpg,right
img/neutralC/CFD-IM-607-018-N.jpg,img/neutralC/CFD-BF-218-207-N.jpg,left
img/neutralC/CFD-MF-334-002-N.jpg,img/neutralC/CFD-WF-236-107-N.jpg,left
img/neutralC/CFD-AF-203-077-N.jpg,img/neutralC/CFD-WM-207-048-N.jpg,left
img/neutralC/CFD-BM-236-248-N.jpg,img/neutralC/CFD-BF-034-002-N.jpg,left
img/neutralC/CFD-AF-209-006-N.jpg,img/neutralC/CFD-AM-238-269-N.jpg,right
img/neutralC/CFD-LM-204-001-N.jpg,img/neutralC/CFD-LM-249-001-N.jpg,right
img/neutralC/CFD-BM-245-164-N.jpg,img/neutralC/CFD-WM-231-112-N.jpg,right
img/neutralC/CFD-BF-038-037-N.jpg,img/neutralC/CFD-AF-237-223-N.jpg,left
img/neutralC/CFD-IF-612-149-N.jpg,img/neutralC/CFD-IM-606-008-N.jpg,left
img/neutralC/CFD-IF-642-295-N.jpg,img/neutralC/CFD-AM-223-138-N.jpg,right
img/neutralC/CFD-BF-024-002-N.jpg,img/neutralC/CFD-BF-002-001-N.jpg,left
img/neutralC/CFD-WM-213-076-N.jpg,img/neutralC/CFD-IF-605-066-N.jpg,left
img/neutralC/CFD-BF-012-001-N.jpg,img/neutralC/CFD-LF-202-065-N.jpg,right
img/neutralC/CFD-BF-018-039-N.jpg,img/neutralC/CFD-WM-001-014-N.jpg,right
img/neutralC/CFD-BF-221-223-N.jpg,img/neutralC/CFD-AF-219-106-N.jpg,left
img/neutralC/CFD-BM-212-117-N.jpg,img/neutralC/CFD-LF-213-079-N.jpg,left
img/neutralC/CFD-AM-244-222-N.jpg,img/neutralC/CFD-WM-237-052-N.jpg,left
img/neutralC/CFD-WF-001-003-N.jpg,img/neutralC/CFD-BF-005-001-N.jpg,left
img/neutralC/CFD-IM-700-009-N.jpg,img/neutralC/CFD-BF-248-149-N.jpg,left
img/neutralC/CFD-BM-021-021-N.jpg,img/neutralC/CFD-IF-693-172-N.jpg,right
img/neutralC/CFD-IM-702-101-N.jpg,img/neutralC/CFD-BF-035-001-N.jpg,right
img/neutralC/CFD-IM-685-004-N.jpg,img/neutralC/CFD-WM-200-034-N.jpg,left
img/neutralC/CFD-WM-228-065-N.jpg,img/neutralC/CFD-MF-344-012-N.jpg,left
img/neutralC/CFD-IM-679-069-N.jpg,img/neutralC/CFD-BF-033-028-N.jpg,right
img/neutralC/CFD-MF-308-001-N.jpg,img/neutralC/CFD-BM-030-003-N.jpg,left
